Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-04-29 00:00:00,71.8,27.3,29.84,SW,221,7.0,7.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 07:00:00,

2015-04-29 00:10:00,71.6,27.1,29.84,SW,223,5.0,5.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 07:10:00,

2015-04-29 00:20:00,71.6,27.1,29.84,SW,225,6.0,6.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 07:20:00,

2015-04-29 00:30:00,71.6,27.1,29.84,SSW,212,6.0,6.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 07:30:00,

2015-04-29 00:40:00,71.8,27.3,29.84,SW,233,9.0,9.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 07:40:00,

2015-04-29 00:50:00,71.8,27.3,29.84,SSW,202,8.0,8.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 07:50:00,

2015-04-29 00:55:00,71.8,28.5,29.84,SW,214,9.0,9.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 07:55:00,

2015-04-29 01:05:00,71.8,28.5,29.83,SW,233,7.0,12.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 08:05:00,

2015-04-29 01:15:00,71.8,28.5,29.83,SW,224,6.0,6.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 08:15:00,

2015-04-29 01:25:00,71.3,28.1,29.83,SW,233,6.0,11.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 08:25:00,

2015-04-29 01:35:00,71.1,28.0,29.83,SW,230,6.0,6.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 08:35:00,

2015-04-29 01:40:00,70.9,27.8,29.83,SW,219,6.0,6.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 08:40:00,

2015-04-29 01:50:00,70.4,28.6,29.83,WSW,246,4.0,4.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 08:50:00,

2015-04-29 02:00:00,69.9,28.2,29.83,SW,219,3.0,3.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 09:00:00,

2015-04-29 02:10:00,68.8,28.4,29.83,SSW,212,4.0,5.0,22,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 09:10:00,

2015-04-29 02:15:00,68.3,28.0,29.83,SW,214,5.0,5.0,22,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 09:15:00,

2015-04-29 02:25:00,67.6,28.5,29.82,SW,223,4.0,7.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 09:25:00,

2015-04-29 02:30:00,67.8,28.6,29.82,WSW,248,5.0,5.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 09:30:00,

2015-04-29 02:40:00,68.1,27.8,29.83,West,277,2.0,3.0,22,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 09:40:00,

2015-04-29 02:50:00,68.1,28.9,29.82,WSW,252,3.0,3.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 09:50:00,

2015-04-29 03:00:00,67.8,28.6,29.82,SW,224,3.0,4.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 10:00:00,

2015-04-29 03:10:00,67.3,28.2,29.82,WNW,300,3.0,3.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 10:10:00,

2015-04-29 03:20:00,66.8,28.8,29.83,SW,225,2.0,2.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 10:20:00,

2015-04-29 03:30:00,66.0,28.1,29.83,WNW,300,3.0,4.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 10:30:00,

2015-04-29 03:35:00,65.5,27.7,29.83,NW,309,3.0,4.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 10:35:00,

2015-04-29 03:45:00,64.2,27.6,29.83,SW,223,3.0,6.0,25,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 10:45:00,

2015-04-29 03:50:00,63.5,27.0,29.84,SW,223,3.0,3.0,25,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 10:50:00,

2015-04-29 03:55:00,63.1,27.6,29.84,SSW,212,3.0,4.0,26,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 10:55:00,

2015-04-29 04:05:00,62.3,27.9,29.84,SSW,210,4.0,4.0,27,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 11:05:00,

2015-04-29 04:15:00,62.0,28.5,29.84,SSW,193,5.0,5.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 11:15:00,

2015-04-29 04:20:00,61.6,28.1,29.84,SSW,211,4.0,4.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 11:20:00,

2015-04-29 04:30:00,61.5,27.2,29.84,SW,214,4.0,4.0,27,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 11:30:00,

2015-04-29 04:40:00,61.2,27.8,29.85,SSW,201,5.0,5.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 11:40:00,

2015-04-29 04:50:00,61.3,27.9,29.85,SW,223,4.0,4.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 11:50:00,

2015-04-29 05:00:00,61.5,28.1,29.85,SW,220,3.0,3.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 12:00:00,

2015-04-29 05:20:00,61.2,28.7,29.85,SSW,213,3.0,3.0,29,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 12:20:00,

2015-04-29 05:30:00,61.0,29.3,29.85,SW,223,4.0,4.0,30,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 12:30:00,

2015-04-29 05:40:00,61.5,29.7,29.85,SW,215,4.0,4.0,30,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 12:40:00,

2015-04-29 05:50:00,61.8,28.3,29.85,WNW,293,2.0,2.0,28,0.00,,,0.00,0,Wunderground v.1.15,2015-04-29 12:50:00,

2015-04-29 06:00:00,61.5,28.1,29.85,WNW,293,0.0,0.0,28,0.00,,,0.00,7,Wunderground v.1.15,2015-04-29 13:00:00,

2015-04-29 06:10:00,60.7,27.4,29.85,SW,230,3.0,3.0,28,0.00,,,0.00,18,Wunderground v.1.15,2015-04-29 13:10:00,

2015-04-29 06:20:00,59.8,26.6,29.86,SSW,209,3.0,5.0,28,0.00,,,0.00,40,Wunderground v.1.15,2015-04-29 13:20:00,

2015-04-29 06:30:00,59.3,29.4,29.86,NNW,334,3.0,5.0,32,0.00,,,0.00,67,Wunderground v.1.15,2015-04-29 13:30:00,

2015-04-29 06:40:00,59.6,28.1,29.88,WNW,283,2.0,2.0,30,0.00,,,0.00,97,Wunderground v.1.15,2015-04-29 13:40:00,

2015-04-29 06:45:00,59.9,28.4,29.88,East,99,1.0,2.0,30,0.00,,,0.00,105,Wunderground v.1.15,2015-04-29 13:45:00,

2015-04-29 06:55:00,61.0,28.5,29.88,NNE,17,1.0,2.0,29,0.00,,,0.00,149,Wunderground v.1.15,2015-04-29 13:55:00,

2015-04-29 07:00:00,61.5,28.1,29.88,NNE,25,1.0,1.0,28,0.00,,,0.00,174,Wunderground v.1.15,2015-04-29 14:00:00,

2015-04-29 07:05:00,62.4,27.9,29.87,ESE,118,0.0,1.0,27,0.00,,,0.00,192,Wunderground v.1.15,2015-04-29 14:05:00,

2015-04-29 07:15:00,64.0,29.3,29.87,SSE,164,0.0,1.0,27,0.00,,,0.00,163,Wunderground v.1.15,2015-04-29 14:15:00,

2015-04-29 07:30:00,66.9,31.8,29.88,SSW,197,3.0,5.0,27,0.00,,,0.00,216,Wunderground v.1.15,2015-04-29 14:30:00,

2015-04-29 07:40:00,69.6,33.2,29.87,SW,215,5.0,5.0,26,0.00,,,0.00,279,Wunderground v.1.15,2015-04-29 14:40:00,

2015-04-29 07:50:00,71.1,31.4,29.87,NW,317,4.0,4.0,23,0.00,,,0.00,248,Wunderground v.1.15,2015-04-29 14:50:00,

2015-04-29 07:55:00,71.5,29.5,29.87,NW,326,3.0,4.0,21,0.00,,,0.00,278,Wunderground v.1.15,2015-04-29 14:55:00,

2015-04-29 08:00:00,71.5,29.5,29.87,WNW,300,3.0,3.0,21,0.00,,,0.00,285,Wunderground v.1.15,2015-04-29 15:00:00,

2015-04-29 08:10:00,71.1,28.0,29.87,NNW,342,3.0,3.0,20,0.00,,,0.00,350,Wunderground v.1.15,2015-04-29 15:10:00,

2015-04-29 08:20:00,71.5,29.5,29.88,NNW,342,2.0,2.0,21,0.00,,,0.00,408,Wunderground v.1.15,2015-04-29 15:20:00,

2015-04-29 08:25:00,72.0,29.9,29.88,NNW,342,1.0,2.0,21,0.00,,,0.00,434,Wunderground v.1.15,2015-04-29 15:25:00,

2015-04-29 08:35:00,73.3,28.5,29.87,North,358,3.0,5.0,19,0.00,,,0.00,504,Wunderground v.1.15,2015-04-29 15:35:00,

2015-04-29 08:45:00,74.2,29.3,29.87,North,1,4.0,5.0,19,0.00,,,0.00,501,Wunderground v.1.15,2015-04-29 15:45:00,

2015-04-29 08:50:00,74.4,29.4,29.87,NNW,339,4.0,5.0,19,0.00,,,0.00,534,Wunderground v.1.15,2015-04-29 15:50:00,

2015-04-29 08:55:00,74.6,29.6,29.87,North,358,4.0,5.0,19,0.00,,,0.00,520,Wunderground v.1.15,2015-04-29 15:55:00,

2015-04-29 09:00:00,74.7,29.7,29.87,NNW,340,4.0,4.0,19,0.00,,,0.00,566,Wunderground v.1.15,2015-04-29 16:00:00,

2015-04-29 09:10:00,74.6,28.3,29.87,North,8,5.0,6.0,18,0.00,,,0.00,615,Wunderground v.1.15,2015-04-29 16:10:00,

2015-04-29 09:20:00,75.1,28.7,29.88,North,7,5.0,5.0,18,0.00,,,0.00,671,Wunderground v.1.15,2015-04-29 16:20:00,

