Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-10-21 00:00:00,63.5,54.3,30.01,ESE,122,0.0,0.0,72,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:00:00,

2015-10-21 00:05:00,63.5,54.0,30.01,East,91,0.9,2.5,71,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:05:00,

2015-10-21 00:10:00,63.5,54.0,30.01,East,93,1.1,2.5,71,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:10:00,

2015-10-21 00:15:00,63.5,54.3,30.01,East,86,0.4,2.5,72,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:15:00,

2015-10-21 00:20:00,63.3,54.5,30.01,ESE,110,0.0,0.0,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:20:00,

2015-10-21 00:25:00,63.3,54.5,30.01,ESE,110,1.8,2.5,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:25:00,

2015-10-21 00:30:00,63.1,54.3,30.01,East,99,0.0,0.0,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:30:00,

2015-10-21 00:35:00,63.0,54.1,30.01,East,83,0.0,0.0,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:35:00,

2015-10-21 00:40:00,62.8,54.0,30.01,ESE,105,0.2,2.5,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:40:00,

2015-10-21 00:46:00,62.8,53.6,30.01,ESE,120,1.1,2.5,72,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:46:00,

2015-10-21 00:51:00,62.6,54.3,30.01,East,101,0.0,0.0,74,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:51:00,

2015-10-21 00:56:00,62.4,54.5,30.01,ESE,116,0.0,0.0,75,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 07:56:00,

2015-10-21 01:01:00,62.2,54.3,30.01,ESE,114,2.5,2.5,75,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 08:01:00,

2015-10-21 01:06:00,62.2,54.0,30.01,ESE,105,1.8,2.5,74,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 08:06:00,

2015-10-21 01:16:00,62.1,53.8,30.01,ESE,123,2.0,2.5,74,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 08:16:00,

2015-10-21 01:21:00,62.1,53.4,30.01,ESE,111,0.2,2.5,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 08:21:00,

2015-10-21 01:26:00,62.1,53.4,30.01,ESE,118,1.3,2.5,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 08:26:00,

2015-10-21 01:31:00,62.1,53.4,30.01,ESE,114,0.4,2.5,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 08:31:00,

2015-10-21 01:36:00,62.1,53.4,30.01,East,100,1.3,2.5,73,0.00,,,0.00,0.00,Weather logger V3.0.,2015-10-21 08:36:00,

