Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-04-18 00:03:00,63.0,41.9,30.01,NE,54,0.4,2.5,46,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:03:00,

2015-04-18 00:13:00,63.3,40.5,30.02,NE,54,0.4,2.5,43,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:13:00,

2015-04-18 00:18:00,63.3,40.5,30.02,NNE,20,0.2,2.5,43,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:18:00,

2015-04-18 00:23:00,63.3,40.5,30.02,NE,50,1.1,2.5,43,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:23:00,

2015-04-18 00:28:00,63.3,39.9,30.02,ENE,61,0.9,2.5,42,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:28:00,

2015-04-18 00:33:00,63.1,39.7,30.02,ENE,60,0.0,0.0,42,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:33:00,

2015-04-18 00:39:00,63.3,39.2,30.02,NE,48,0.4,2.5,41,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:39:00,

2015-04-18 00:44:00,63.3,38.7,30.02,NE,51,0.0,0.0,40,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:44:00,

2015-04-18 00:49:00,63.3,36.7,30.02,NNE,20,0.4,2.5,37,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:49:00,

2015-04-18 00:54:00,63.7,37.0,30.02,NNE,26,0.0,0.0,37,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:54:00,

2015-04-18 00:59:00,63.9,36.5,30.02,NNE,21,0.9,2.5,36,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 07:59:00,

2015-04-18 01:04:00,64.2,35.2,30.02,NE,49,0.0,0.0,34,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:04:00,

2015-04-18 01:09:00,64.4,35.4,30.02,NE,53,0.0,0.0,34,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:09:00,

2015-04-18 01:14:00,64.6,34.9,30.02,NE,50,0.0,0.0,33,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:14:00,

2015-04-18 01:19:00,64.6,34.9,30.02,NE,55,0.0,0.0,33,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:19:00,

2015-04-18 01:24:00,64.6,34.9,30.02,ENE,64,0.0,0.0,33,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:24:00,

2015-04-18 01:29:00,64.4,39.6,30.02,ESE,107,0.0,0.0,40,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:29:00,

2015-04-18 01:39:00,63.5,38.1,30.02,ESE,122,1.3,2.5,39,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:39:00,

2015-04-18 01:44:00,63.1,37.2,30.02,ESE,106,1.3,2.5,38,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:44:00,

2015-04-18 01:49:00,62.8,37.6,30.02,SE,129,0.9,2.5,39,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:49:00,

2015-04-18 01:55:00,62.6,38.7,30.02,East,95,0.2,2.5,41,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 08:55:00,

2015-04-18 02:00:00,62.2,39.6,30.02,East,88,0.0,0.0,43,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:00:00,

2015-04-18 02:05:00,62.1,40.5,30.01,ESE,106,0.0,0.0,45,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:05:00,

2015-04-18 02:10:00,61.7,41.9,30.01,East,89,0.0,0.0,48,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:10:00,

2015-04-18 02:15:00,61.2,42.4,30.02,ESE,121,0.2,2.5,50,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:15:00,

2015-04-18 02:20:00,60.8,42.1,30.02,ESE,112,0.9,2.5,50,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:20:00,

2015-04-18 02:25:00,60.4,41.7,30.02,East,93,0.0,0.0,50,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:25:00,

2015-04-18 02:30:00,60.3,42.1,30.01,East,94,0.0,0.0,51,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:30:00,

2015-04-18 02:35:00,60.1,41.9,30.02,ENE,75,0.0,0.0,51,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:35:00,

2015-04-18 02:40:00,59.9,41.7,30.02,East,85,0.2,2.5,51,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:40:00,

2015-04-18 02:45:00,59.9,42.3,30.01,East,79,0.0,0.0,52,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:45:00,

2015-04-18 02:50:00,59.9,41.7,30.01,East,97,0.0,0.0,51,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:50:00,

2015-04-18 02:56:00,59.7,41.0,30.01,East,97,0.0,0.0,50,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 09:56:00,

2015-04-18 03:01:00,59.5,42.4,30.01,East,96,0.0,0.0,53,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 10:01:00,

2015-04-18 03:06:00,59.5,41.4,30.01,East,79,0.2,2.5,51,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 10:06:00,

2015-04-18 03:11:00,59.4,40.3,30.01,East,80,0.0,0.0,49,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 10:11:00,

2015-04-18 03:16:00,59.4,41.2,30.01,ENE,74,0.0,0.0,51,0.00,,,0.00,0.00,Weather logger V1.0,2015-04-18 10:16:00,

