Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-03-05 00:00:00,35.8,25.5,30.30,SW,214,4.0,5.0,66,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:00:00,

2015-03-05 00:05:00,35.8,25.5,30.30,SSW,208,5.0,5.0,66,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:05:00,

2015-03-05 00:15:00,35.6,25.4,30.30,SW,223,5.0,6.0,66,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:15:00,

2015-03-05 00:20:00,35.6,25.4,30.30,SSW,210,5.0,5.0,66,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:20:00,

2015-03-05 00:30:00,35.6,25.0,30.30,WSW,240,4.0,4.0,65,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:30:00,

2015-03-05 00:35:00,35.6,25.0,30.30,SW,226,4.0,5.0,65,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:35:00,

2015-03-05 00:40:00,35.6,25.0,30.30,SW,214,4.0,6.0,65,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:40:00,

2015-03-05 00:50:00,35.3,25.4,30.30,SSW,212,5.0,5.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:50:00,

2015-03-05 00:55:00,35.2,25.3,30.30,SSW,210,4.0,5.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 08:55:00,

2015-03-05 01:00:00,35.0,25.1,30.30,SSW,204,4.0,5.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:00:00,

2015-03-05 01:05:00,34.7,24.9,30.31,SSW,208,5.0,5.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:05:00,

2015-03-05 01:15:00,34.6,24.8,30.31,SW,223,5.0,5.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:15:00,

2015-03-05 01:20:00,34.4,24.9,30.31,SW,219,5.0,6.0,68,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:20:00,

2015-03-05 01:25:00,34.3,24.8,30.31,SW,223,5.0,6.0,68,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:25:00,

2015-03-05 01:30:00,34.3,24.8,30.31,SW,231,5.0,5.0,68,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:30:00,

2015-03-05 01:35:00,34.1,24.6,30.31,SW,231,5.0,5.0,68,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:35:00,

2015-03-05 01:40:00,34.0,24.5,30.31,SW,218,5.0,5.0,68,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:40:00,

2015-03-05 01:50:00,33.5,24.4,30.32,SSW,211,6.0,6.0,69,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:50:00,

2015-03-05 01:55:00,33.4,24.3,30.32,SW,219,6.0,6.0,69,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 09:55:00,

2015-03-05 02:05:00,32.9,23.8,30.31,SSW,211,6.0,6.0,69,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 10:05:00,

2015-03-05 02:15:00,32.5,23.5,30.31,SW,231,6.0,6.0,69,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 10:15:00,

2015-03-05 02:20:00,32.5,23.8,30.30,SSW,212,6.0,6.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 10:20:00,

2015-03-05 02:30:00,32.2,23.5,30.30,SSW,213,5.0,5.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 10:30:00,

2015-03-05 02:40:00,31.9,23.6,30.30,SSW,211,5.0,5.0,71,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 10:40:00,

2015-03-05 02:50:00,31.9,23.2,30.30,SSW,211,5.0,6.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 10:50:00,

2015-03-05 02:55:00,31.9,23.2,30.30,SW,227,5.0,6.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 10:55:00,

2015-03-05 03:05:00,32.2,23.5,30.30,SW,220,4.0,5.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:05:00,

2015-03-05 03:10:00,32.2,23.5,30.30,SW,220,3.0,3.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:10:00,

2015-03-05 03:15:00,32.4,23.7,30.30,SW,217,3.0,3.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:15:00,

2015-03-05 03:20:00,32.4,23.7,30.31,SSW,201,4.0,4.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:20:00,

2015-03-05 03:25:00,32.4,23.7,30.31,SSW,202,4.0,4.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:25:00,

2015-03-05 03:30:00,32.1,23.4,30.31,SSW,200,4.0,7.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:30:00,

2015-03-05 03:35:00,31.9,23.2,30.31,SSW,204,6.0,8.0,70,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:35:00,

2015-03-05 03:45:00,32.2,22.8,30.31,SW,214,7.0,7.0,68,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:45:00,

2015-03-05 03:50:00,32.5,22.8,30.31,SSW,213,6.0,7.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:50:00,

2015-03-05 03:55:00,32.7,22.9,30.31,SSW,207,6.0,7.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 11:55:00,

2015-03-05 04:00:00,32.8,23.0,30.31,SSW,200,6.0,6.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:00:00,

2015-03-05 04:06:00,32.8,23.0,30.31,SW,216,6.0,6.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:06:00,

2015-03-05 04:15:00,32.7,22.6,30.31,SSW,207,6.0,6.0,66,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:15:00,

2015-03-05 04:20:00,32.5,22.8,30.32,South,191,6.0,6.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:20:00,

2015-03-05 04:25:00,32.4,22.7,30.32,SSW,203,5.0,6.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:25:00,

2015-03-05 04:30:00,32.2,22.5,30.32,SSW,202,6.0,6.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:30:00,

2015-03-05 04:35:00,32.1,22.4,30.33,SSW,202,6.0,6.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:35:00,

2015-03-05 04:40:00,31.9,22.2,30.33,SSW,212,6.0,6.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:40:00,

2015-03-05 04:50:00,31.9,22.2,30.33,SSW,210,6.0,6.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:50:00,

2015-03-05 04:55:00,31.9,21.8,30.33,SW,226,5.0,6.0,66,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 12:55:00,

2015-03-05 05:00:00,31.9,22.2,30.33,SSW,211,5.0,5.0,67,0.00,,,0.00,0,Wunderground v.1.15,2015-03-05 13:00:00,

