Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-08-20 00:02:00,79.3,50.9,29.88,West,262,1.1,2.5,37,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:02:00,

2015-08-20 00:07:00,79.7,52.0,29.88,East,90,0.0,0.0,38,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:07:00,

2015-08-20 00:12:00,80.1,50.0,29.89,North,8,2.5,4.9,35,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:12:00,

2015-08-20 00:18:00,80.2,49.5,29.88,NW,311,2.9,4.9,34,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:18:00,

2015-08-20 00:23:00,80.4,50.4,29.88,NNW,346,4.9,4.9,35,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:23:00,

2015-08-20 00:28:00,80.4,51.8,29.88,NNE,14,2.0,2.5,37,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:28:00,

2015-08-20 00:34:00,80.2,52.3,29.87,NW,316,2.9,4.9,38,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:34:00,

2015-08-20 00:39:00,80.2,53.1,29.88,NNW,337,4.5,4.9,39,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:39:00,

2015-08-20 00:44:00,79.9,52.7,29.88,NW,323,3.6,4.9,39,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:44:00,

2015-08-20 00:50:00,79.7,52.7,29.88,NE,54,1.1,2.5,39,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:50:00,

2015-08-20 00:55:00,79.3,53.1,29.88,North,3,2.5,2.5,40,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 07:55:00,

2015-08-20 01:00:00,79.0,54.0,29.88,North,7,1.1,2.5,42,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:00:00,

2015-08-20 01:06:00,78.6,54.3,29.88,NNW,345,1.8,2.5,43,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:06:00,

2015-08-20 01:11:00,78.1,53.8,29.88,NW,304,2.7,4.9,43,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:11:00,

2015-08-20 01:16:00,77.7,52.9,29.88,NW,318,3.4,4.9,42,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:16:00,

2015-08-20 01:21:00,77.7,52.9,29.88,NW,313,1.3,2.5,42,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:21:00,

2015-08-20 01:26:00,77.4,51.3,29.88,ENE,71,0.0,0.0,40,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:26:00,

2015-08-20 01:31:00,77.2,51.8,29.88,West,263,1.8,2.5,41,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:31:00,

2015-08-20 01:36:00,76.8,50.7,29.88,WNW,290,1.8,2.5,40,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:36:00,

2015-08-20 01:42:00,76.6,51.3,29.88,SW,236,2.5,2.5,41,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:42:00,

2015-08-20 01:47:00,76.5,51.8,29.88,NW,316,3.4,4.9,42,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:47:00,

2015-08-20 01:52:00,76.1,51.4,29.89,NW,315,2.5,4.9,42,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:52:00,

2015-08-20 01:57:00,75.9,51.8,29.88,NNW,340,2.7,4.9,43,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 08:57:00,

2015-08-20 02:02:00,75.7,52.3,29.89,NE,55,0.9,2.5,44,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:02:00,

2015-08-20 02:07:00,75.6,54.0,29.89,East,86,0.0,0.0,47,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:07:00,

2015-08-20 02:12:00,75.2,54.1,29.89,NNW,332,2.0,2.5,48,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:12:00,

2015-08-20 02:17:00,75.0,53.4,29.89,ENE,59,0.0,0.0,47,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:17:00,

2015-08-20 02:22:00,74.8,54.0,29.89,North,11,1.1,2.5,48,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:22:00,

2015-08-20 02:27:00,74.7,54.3,29.89,ENE,59,0.0,0.0,49,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:27:00,

2015-08-20 02:32:00,74.3,54.5,29.88,ENE,60,0.0,0.0,50,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:32:00,

2015-08-20 02:37:00,73.9,54.7,29.89,ENE,64,0.0,0.0,51,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:37:00,

2015-08-20 02:42:00,73.8,54.5,29.89,ENE,58,0.0,0.0,51,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:42:00,

2015-08-20 02:47:00,73.6,53.8,29.89,ENE,76,0.0,0.0,50,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:47:00,

2015-08-20 02:52:00,73.4,53.6,29.89,North,5,0.0,0.0,50,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:52:00,

2015-08-20 02:58:00,73.4,52.0,29.89,NE,56,0.0,0.0,47,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 09:58:00,

2015-08-20 03:03:00,73.6,53.2,29.89,NE,55,0.0,0.0,49,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 10:03:00,

2015-08-20 03:08:00,73.8,55.0,29.89,ENE,73,0.0,0.0,52,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 10:08:00,

2015-08-20 03:13:00,73.8,55.0,29.89,ENE,73,0.0,0.0,52,0.00,,,0.00,0.00,Weather logger V3.0.,2015-08-20 10:13:00,

