Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-04-27 00:00:00,64.0,22.1,29.94,North,355,6.0,7.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 07:00:00,

2015-04-27 00:10:00,64.5,22.5,29.94,NE,38,7.0,7.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 07:10:00,

2015-04-27 00:15:00,64.7,21.4,29.94,NE,34,6.0,7.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 07:15:00,

2015-04-27 00:25:00,64.0,22.1,29.94,ESE,115,3.0,5.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 07:25:00,

2015-04-27 00:30:00,63.7,23.0,29.94,ESE,115,1.0,1.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 07:30:00,

2015-04-27 00:40:00,62.7,22.2,29.95,ENE,73,2.0,4.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 07:40:00,

2015-04-27 00:50:00,63.7,20.6,29.96,NNE,15,6.0,7.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 07:50:00,

2015-04-27 01:00:00,63.5,20.5,29.96,NNE,31,7.0,9.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 08:00:00,

2015-04-27 01:05:00,63.2,20.2,29.95,NNE,15,9.0,9.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 08:05:00,

2015-04-27 01:15:00,63.2,20.2,29.95,North,8,8.0,9.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 08:15:00,

2015-04-27 01:20:00,63.1,20.1,29.95,NNE,12,7.0,7.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 08:20:00,

2015-04-27 01:30:00,62.9,20.0,29.95,North,8,8.0,8.0,19,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 08:30:00,

2015-04-27 01:40:00,62.3,20.7,29.95,NNE,18,8.0,10.0,20,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 08:40:00,

2015-04-27 01:50:00,61.8,21.4,29.95,NNE,27,9.0,9.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 08:50:00,

2015-04-27 02:00:00,62.0,21.6,29.95,NE,49,6.0,6.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 09:00:00,

2015-04-27 02:05:00,62.0,21.6,29.95,NNE,23,5.0,9.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 09:05:00,

2015-04-27 02:15:00,61.8,21.4,29.95,NNE,17,8.0,11.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 09:15:00,

2015-04-27 02:20:00,61.5,21.2,29.94,NNE,32,9.0,11.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 09:20:00,

2015-04-27 02:25:00,61.6,21.2,29.94,NNE,22,11.0,11.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 09:25:00,

2015-04-27 02:35:00,61.6,21.2,29.94,NNE,31,10.0,14.0,21,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 09:35:00,

2015-04-27 02:40:00,61.3,22.1,29.94,NNE,25,8.0,8.0,22,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 09:40:00,

2015-04-27 02:50:00,60.4,22.4,29.96,NNE,28,7.0,9.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 09:50:00,

2015-04-27 03:10:00,60.4,22.4,29.95,NNE,15,9.0,9.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 10:10:00,

2015-04-27 03:20:00,59.6,22.7,29.96,NNE,27,8.0,8.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 10:20:00,

2015-04-27 03:25:00,59.8,22.9,29.96,NE,34,8.0,8.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 10:25:00,

2015-04-27 03:35:00,60.4,22.4,29.97,NNE,27,10.0,12.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 10:35:00,

2015-04-27 03:40:00,60.5,22.5,29.97,NE,39,11.0,11.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 10:40:00,

2015-04-27 03:50:00,60.7,22.6,29.96,NNE,32,11.0,11.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 10:50:00,

2015-04-27 04:00:00,60.4,22.4,29.96,NNE,32,9.0,9.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 11:00:00,

2015-04-27 04:05:00,60.1,22.1,29.97,NE,46,8.0,9.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 11:05:00,

2015-04-27 04:15:00,60.1,23.1,29.97,NE,40,10.0,10.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 11:15:00,

2015-04-27 04:25:00,59.9,23.0,29.96,NNE,17,11.0,12.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 11:25:00,

2015-04-27 04:35:00,59.9,22.0,29.96,ENE,68,9.0,13.0,23,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 11:35:00,

2015-04-27 04:40:00,59.5,22.6,29.96,NE,38,7.0,7.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 11:40:00,

2015-04-27 04:45:00,59.2,22.4,29.96,NE,34,7.0,7.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 11:45:00,

2015-04-27 04:55:00,59.3,22.5,29.97,NNE,18,10.0,11.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 11:55:00,

2015-04-27 05:00:00,59.2,22.4,29.97,NNE,19,11.0,11.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 12:00:00,

2015-04-27 05:10:00,59.2,22.4,29.97,NNE,23,11.0,11.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 12:10:00,

2015-04-27 05:20:00,58.9,22.1,29.97,NE,37,9.0,9.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 12:20:00,

2015-04-27 05:30:00,58.9,22.1,29.97,NE,34,6.0,6.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 12:30:00,

2015-04-27 05:40:00,58.7,22.0,29.99,East,91,2.0,2.0,24,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 12:40:00,

2015-04-27 05:50:00,58.3,22.6,29.99,NE,53,5.0,5.0,25,0.00,,,0.00,0,Wunderground v.1.15,2015-04-27 12:50:00,

2015-04-27 06:00:00,58.3,22.6,29.99,ESE,108,3.0,3.0,25,0.00,,,0.00,5,Wunderground v.1.15,2015-04-27 13:00:00,

2015-04-27 06:05:00,58.0,22.3,30.00,NE,39,2.0,3.0,25,0.00,,,0.00,5,Wunderground v.1.15,2015-04-27 13:05:00,

2015-04-27 06:10:00,58.1,22.4,30.00,East,98,3.0,4.0,25,0.00,,,0.00,11,Wunderground v.1.15,2015-04-27 13:10:00,

2015-04-27 06:20:00,58.7,22.9,30.01,NNE,20,2.0,2.0,25,0.00,,,0.00,26,Wunderground v.1.15,2015-04-27 13:20:00,

2015-04-27 06:30:00,59.0,22.2,30.01,North,0,2.0,5.0,24,0.00,,,0.00,49,Wunderground v.1.15,2015-04-27 13:30:00,

2015-04-27 06:35:00,59.2,22.4,30.01,NNE,13,5.0,7.0,24,0.00,,,0.00,67,Wunderground v.1.15,2015-04-27 13:35:00,

2015-04-27 06:40:00,59.8,21.9,30.01,NNE,25,7.0,10.0,23,0.00,,,0.00,83,Wunderground v.1.15,2015-04-27 13:40:00,

2015-04-27 06:45:00,60.2,22.2,30.01,North,9,9.0,11.0,23,0.00,,,0.00,70,Wunderground v.1.15,2015-04-27 13:45:00,

2015-04-27 06:50:00,60.5,22.5,30.01,North,1,10.0,17.0,23,0.00,,,0.00,111,Wunderground v.1.15,2015-04-27 13:50:00,

2015-04-27 07:00:00,61.5,22.3,30.01,NNE,15,11.0,11.0,22,0.00,,,0.00,153,Wunderground v.1.15,2015-04-27 14:00:00,

2015-04-27 07:05:00,62.0,22.7,30.01,NNE,20,11.0,11.0,22,0.00,,,0.00,167,Wunderground v.1.15,2015-04-27 14:05:00,

