Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-11-15 00:01:00,51.1,44.4,29.93,ESE,103,0.0,0.0,78,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:01:00,

2015-11-15 00:06:00,51.1,45.1,29.94,SW,217,2.9,4.9,80,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:06:00,

2015-11-15 00:11:00,50.7,45.5,29.94,SSE,166,0.0,0.0,82,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:11:00,

2015-11-15 00:16:00,50.4,45.5,29.94,SSW,192,0.2,2.5,83,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:16:00,

2015-11-15 00:21:00,50.0,45.3,29.94,East,92,0.0,0.0,84,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:21:00,

2015-11-15 00:27:00,49.5,45.1,29.94,East,95,0.0,0.0,85,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:27:00,

2015-11-15 00:32:00,48.9,45.3,29.94,NNE,20,0.0,0.0,87,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:32:00,

2015-11-15 00:37:00,48.6,44.6,29.94,ENE,69,0.0,0.0,86,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:37:00,

2015-11-15 00:42:00,48.4,44.8,29.94,North,1,0.0,0.0,87,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:42:00,

2015-11-15 00:47:00,48.2,44.8,29.94,ENE,67,0.0,0.0,88,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:47:00,

2015-11-15 00:52:00,47.8,44.8,29.93,NNE,20,0.0,0.0,89,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:52:00,

2015-11-15 00:57:00,47.7,45.0,29.94,SE,125,0.0,0.0,90,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 08:57:00,

2015-11-15 01:02:00,47.5,45.0,29.93,East,85,0.0,0.0,91,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:02:00,

2015-11-15 01:07:00,47.1,45.0,29.93,ENE,60,0.0,0.0,92,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:07:00,

2015-11-15 01:12:00,46.8,44.6,29.93,ENE,76,0.0,0.0,92,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:12:00,

2015-11-15 01:17:00,46.4,44.4,29.93,ENE,62,0.0,0.0,93,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:17:00,

2015-11-15 01:22:00,46.2,44.2,29.92,East,98,0.0,0.0,93,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:22:00,

2015-11-15 01:27:00,46.0,44.1,29.92,ENE,63,0.0,0.0,93,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:27:00,

2015-11-15 01:32:00,45.9,43.9,29.92,ESE,102,0.0,0.0,93,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:32:00,

2015-11-15 01:37:00,45.7,44.1,29.93,ENE,77,0.0,0.0,94,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:37:00,

2015-11-15 01:48:00,45.5,43.9,29.93,East,100,0.0,0.0,94,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:48:00,

2015-11-15 01:53:00,45.3,43.7,29.93,SSE,149,0.0,0.0,94,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:53:00,

2015-11-15 01:58:00,45.1,43.9,29.93,ESE,111,0.0,0.0,95,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 09:58:00,

2015-11-15 02:08:00,45.0,43.7,29.93,East,100,0.0,0.0,95,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:08:00,

2015-11-15 02:13:00,45.0,43.9,29.93,SE,126,0.0,0.0,96,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:13:00,

2015-11-15 02:18:00,45.0,43.9,29.93,SE,131,0.0,0.0,96,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:18:00,

2015-11-15 02:23:00,45.0,43.9,29.92,East,80,0.0,0.0,96,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:23:00,

2015-11-15 02:28:00,45.0,43.9,29.92,NE,51,0.0,0.0,96,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:28:00,

2015-11-15 02:33:00,45.1,43.9,29.92,East,85,0.0,0.0,95,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:33:00,

2015-11-15 02:38:00,45.1,43.9,29.92,ENE,64,0.0,0.0,95,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:38:00,

2015-11-15 02:43:00,45.1,43.9,29.92,ESE,110,0.0,0.0,95,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:43:00,

2015-11-15 02:48:00,45.1,44.1,29.91,ENE,77,0.0,0.0,96,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:48:00,

2015-11-15 02:53:00,44.8,43.5,29.91,ESE,109,0.0,0.0,95,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:53:00,

2015-11-15 02:59:00,44.8,43.0,29.91,East,94,0.0,0.0,93,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 10:59:00,

2015-11-15 03:04:00,45.0,42.4,29.90,East,80,0.0,0.0,91,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:04:00,

2015-11-15 03:09:00,45.1,41.9,29.90,SE,127,0.0,0.0,88,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:09:00,

2015-11-15 03:14:00,45.1,41.9,29.90,ESE,117,1.1,2.5,88,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:14:00,

2015-11-15 03:19:00,45.3,41.4,29.89,SE,135,0.0,0.0,86,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:19:00,

2015-11-15 03:24:00,45.5,41.9,29.89,ENE,77,0.0,0.0,87,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:24:00,

2015-11-15 03:29:00,45.3,41.7,29.89,ENE,77,0.0,0.0,87,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:29:00,

2015-11-15 03:34:00,45.3,41.2,29.88,ENE,68,0.0,0.0,85,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:34:00,

2015-11-15 03:39:00,45.1,40.3,29.89,SSW,211,0.0,0.0,83,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:39:00,

2015-11-15 03:44:00,45.0,41.0,29.89,ENE,64,0.0,0.0,86,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:44:00,

2015-11-15 03:49:00,44.8,41.5,29.89,ESE,113,0.0,0.0,88,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:49:00,

2015-11-15 03:54:00,44.8,41.7,29.89,NNE,18,0.0,0.0,89,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:54:00,

2015-11-15 03:59:00,44.6,41.5,29.89,ESE,113,0.0,0.0,89,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 11:59:00,

2015-11-15 04:04:00,44.2,41.5,29.89,SSW,198,0.0,0.0,90,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:04:00,

2015-11-15 04:09:00,43.9,41.2,29.89,SE,128,0.0,0.0,90,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:09:00,

2015-11-15 04:15:00,43.7,41.2,29.89,ESE,107,0.0,0.0,91,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:15:00,

2015-11-15 04:20:00,43.5,41.0,29.90,SSW,212,0.0,0.0,91,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:20:00,

2015-11-15 04:25:00,43.3,41.2,29.90,ESE,102,0.0,0.0,92,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:25:00,

2015-11-15 04:30:00,43.2,41.0,29.90,SE,141,0.0,0.0,92,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:30:00,

2015-11-15 04:35:00,43.0,41.2,29.90,SW,215,2.0,2.5,93,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:35:00,

2015-11-15 04:40:00,43.0,41.4,29.90,SSW,210,0.0,0.0,94,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:40:00,

2015-11-15 04:45:00,42.8,41.2,29.90,ENE,64,0.0,0.0,94,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:45:00,

2015-11-15 04:50:00,42.8,41.2,29.90,East,85,0.0,0.0,94,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:50:00,

2015-11-15 04:55:00,42.6,41.0,29.90,SE,125,0.0,0.0,94,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 12:55:00,

2015-11-15 05:00:00,42.4,40.8,29.92,North,7,0.0,0.0,94,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:00:00,

2015-11-15 05:05:00,42.4,41.2,29.92,WNW,291,1.8,2.5,95,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:05:00,

2015-11-15 05:10:00,42.3,40.5,29.92,WNW,289,0.4,2.5,93,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:10:00,

2015-11-15 05:15:00,42.4,40.1,29.92,NNW,345,1.8,2.5,91,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:15:00,

2015-11-15 05:20:00,42.4,39.4,29.92,NW,326,2.9,4.9,89,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:20:00,

2015-11-15 05:25:00,42.6,39.0,29.92,North,349,1.3,2.5,87,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:25:00,

2015-11-15 05:31:00,42.6,38.5,29.92,NNE,12,2.9,4.9,85,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:31:00,

2015-11-15 05:41:00,43.0,37.2,29.93,North,354,2.5,4.9,80,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:41:00,

2015-11-15 05:46:00,43.0,37.2,29.93,North,349,2.5,2.5,80,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:46:00,

2015-11-15 05:51:00,43.2,38.1,29.93,North,357,2.5,2.5,82,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:51:00,

2015-11-15 05:56:00,43.3,38.3,29.93,NNW,329,9.2,9.8,82,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 13:56:00,

2015-11-15 06:01:00,43.7,38.8,29.93,North,349,4.0,4.9,83,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 14:01:00,

2015-11-15 06:06:00,44.1,39.6,29.93,North,351,7.2,12.3,84,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 14:06:00,

2015-11-15 06:11:00,44.4,40.5,29.93,NNE,20,2.0,2.5,86,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 14:11:00,

2015-11-15 06:16:00,44.8,41.2,29.93,NNE,20,1.3,2.5,87,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 14:16:00,

2015-11-15 06:21:00,45.1,41.2,29.94,North,11,0.0,0.0,86,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 14:21:00,

2015-11-15 06:26:00,45.5,41.4,29.94,ENE,66,0.0,0.0,85,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 14:26:00,

2015-11-15 06:31:00,45.9,41.5,29.93,North,351,0.0,0.0,85,0.00,,,0.00,0.00,Weather logger V3.0.,2015-11-15 14:31:00,

2015-11-15 06:36:00,46.0,41.7,29.93,NNE,20,2.7,4.9,85,0.00,,,0.00,3.74,Weather logger V3.0.,2015-11-15 14:36:00,

2015-11-15 06:41:00,46.6,42.1,29.94,East,79,0.9,2.5,84,0.00,,,0.00,8.16,Weather logger V3.0.,2015-11-15 14:41:00,

2015-11-15 06:47:00,46.8,41.9,29.94,NNE,20,2.9,4.9,83,0.00,,,0.00,17.30,Weather logger V3.0.,2015-11-15 14:47:00,

2015-11-15 06:52:00,47.1,41.5,29.94,NNE,19,0.9,2.5,81,0.00,,,0.00,22.47,Weather logger V3.0.,2015-11-15 14:52:00,

2015-11-15 06:57:00,47.5,41.4,29.95,NNE,20,0.0,0.0,79,0.00,,,0.00,27.51,Weather logger V3.0.,2015-11-15 14:57:00,

2015-11-15 07:02:00,47.8,41.0,29.95,NNE,16,0.9,2.5,77,0.00,,,0.00,32.54,Weather logger V3.0.,2015-11-15 15:02:00,

2015-11-15 07:07:00,48.4,40.5,29.95,NE,56,2.0,2.5,74,0.00,,,0.00,37.06,Weather logger V3.0.,2015-11-15 15:07:00,

2015-11-15 07:12:00,48.9,40.6,29.96,NE,37,0.0,0.0,73,0.00,,,0.00,41.27,Weather logger V3.0.,2015-11-15 15:12:00,

2015-11-15 07:17:00,49.5,40.1,29.96,East,96,0.0,0.0,70,0.00,,,0.00,45.48,Weather logger V3.0.,2015-11-15 15:17:00,

2015-11-15 07:22:00,50.0,41.0,29.95,East,80,0.0,0.0,71,0.00,,,0.00,49.30,Weather logger V3.0.,2015-11-15 15:22:00,

2015-11-15 07:27:00,50.5,41.5,29.96,ENE,57,0.0,0.0,71,0.00,,,0.00,52.99,Weather logger V3.0.,2015-11-15 15:27:00,

2015-11-15 07:32:00,50.9,41.5,29.96,NNE,15,0.0,0.0,70,0.00,,,0.00,56.33,Weather logger V3.0.,2015-11-15 15:32:00,

2015-11-15 07:37:00,51.3,41.9,29.95,NE,49,0.4,2.5,70,0.00,,,0.00,59.98,Weather logger V3.0.,2015-11-15 15:37:00,

2015-11-15 07:42:00,51.6,41.9,29.95,NNE,20,0.0,0.0,69,0.00,,,0.00,63.45,Weather logger V3.0.,2015-11-15 15:42:00,

2015-11-15 07:47:00,52.0,41.4,29.95,NNE,18,0.0,0.0,67,0.00,,,0.00,66.44,Weather logger V3.0.,2015-11-15 15:47:00,

2015-11-15 07:52:00,52.2,39.9,29.95,East,87,0.0,0.0,63,0.00,,,0.00,69.27,Weather logger V3.0.,2015-11-15 15:52:00,

2015-11-15 07:57:00,52.7,39.7,29.95,North,9,0.9,2.5,61,0.00,,,0.00,72.22,Weather logger V3.0.,2015-11-15 15:57:00,

2015-11-15 08:03:00,53.2,40.6,29.95,East,89,0.0,0.0,62,0.00,,,0.00,75.17,Weather logger V3.0.,2015-11-15 16:03:00,

2015-11-15 08:08:00,54.0,40.8,29.95,ENE,67,0.0,0.0,61,0.00,,,0.00,77.77,Weather logger V3.0.,2015-11-15 16:08:00,

2015-11-15 08:13:00,54.7,41.2,29.95,ENE,66,2.0,2.5,60,0.00,,,0.00,80.44,Weather logger V3.0.,2015-11-15 16:13:00,

2015-11-15 08:18:00,55.4,39.9,29.95,East,86,0.0,0.0,56,0.00,,,0.00,82.46,Weather logger V3.0.,2015-11-15 16:18:00,

2015-11-15 08:23:00,56.3,39.4,29.95,ESE,116,0.2,2.5,53,0.00,,,0.00,84.01,Weather logger V3.0.,2015-11-15 16:23:00,

2015-11-15 08:28:00,57.0,41.0,29.96,SSE,168,4.9,4.9,55,0.00,,,0.00,86.06,Weather logger V3.0.,2015-11-15 16:28:00,

