,Cldbs (ft),Dwpt (F),Hum (%),Prcp Dly (in),Prcp Hrly (in),Pres (inHg),Solr Rad (W/m^2),Temp (F),Wnd Deg (deg),Wnd Spd (mph),Wnd Spd Gst (mph)
Min,2809.0,29.1,10.0,0.0,0.0,29.65,0.0,72.1,0.0,0.0,0.0
Avg,9627.5,48.38,29.19,0.0,0.0,29.81,250.9,88.98,216.8,1.56,2.37
Max,15786.0,64.4,69.0,0.0,0.0,29.95,680.19,105.8,359.0,13.4,17.5
