,Cldbs (ft),Dwpt (F),Hum (%),Prcp Dly (in),Prcp Hrly (in),Pres (inHg),Solr Rad (W/m^2),Temp (F),Wnd Deg (deg),Wnd Spd (mph),Wnd Spd Gst (mph)
Min,1945.0,22.8,10.0,0.0,0.0,29.65,0.0,61.0,0.0,0.0,0.0
Avg,8900.99,47.6,31.73,0.0,0.0,29.92,263.18,85.0,216.18,1.69,2.58
Max,15786.0,65.8,78.0,0.0,0.0,30.15,691.27,105.8,359.0,13.4,17.5
