,Cldbs (ft),Dwpt (F),Hum (%),Prcp Dly (in),Prcp Hrly (in),Pres (inHg),Solr Rad (W/m^2),Temp (F),Wnd Deg (deg),Wnd Spd (mph),Wnd Spd Gst (mph)
Min,3832.0,30.2,10.0,0.0,0.0,29.72,0.0,73.9,0.0,0.0,0.0
Avg,9427.13,46.72,29.84,0.0,0.0,29.8,287.57,86.44,224.83,1.98,2.91
Max,15377.0,58.8,59.0,0.0,0.0,29.87,647.64,98.6,359.0,9.6,12.3
